Gene ID,Tissue
ENSG00000078018,Cerebral Cortex
ENSG00000078053,Cerebral Cortex
ENSG00000078081,Lung
ENSG00000078487,Testis
ENSG00000078725,Cerebral Cortex
ENSG00000078795,Testis
ENSG00000078898,Salivary Gland
ENSG00000079215,Cerebral Cortex
ENSG00000079387,Testis
ENSG00000079435,Adipose
ENSG00000079557,Liver
ENSG00000080007,Testis
ENSG00000080166,Skin
ENSG00000080618,Liver
ENSG00000080644,Adrenal Gland
ENSG00000080910,Liver
ENSG00000081148,Fallopian Tube
ENSG00000081248,Skeletal Muscle
ENSG00000083782,Placenta
ENSG00000083807,Liver
ENSG00000084453,Cerebral Cortex
ENSG00000084693,Testis
ENSG00000084710,Cerebral Cortex
ENSG00000084731,Cerebral Cortex
ENSG00000085465,Fallopian Tube
ENSG00000085662,Adrenal Gland
ENSG00000086506,Bone Marrow
ENSG00000086717,Testis
ENSG00000086967,Skeletal Muscle
ENSG00000086991,Kidney
ENSG00000087128,Esophagus
ENSG00000087250,Cerebral Cortex
ENSG00000087258,Cerebral Cortex
ENSG00000087495,Cerebral Cortex
ENSG00000088782,Kidney
ENSG00000089169,Cerebral Cortex
ENSG00000089199,Adrenal Gland
ENSG00000089505,Testis
ENSG00000090512,Liver
ENSG00000091128,Skin
ENSG00000091137,Thyroid Gland
ENSG00000091181,Fallopian Tube
ENSG00000091513,Liver
ENSG00000091583,Liver
ENSG00000091664,Cerebral Cortex
ENSG00000091704,Pancreas
ENSG00000092067,Bone Marrow
ENSG00000092200,Testis
ENSG00000092295,Esophagus
ENSG00000092345,Testis
ENSG00000092377,Prostate gland
ENSG00000092529,Skeletal Muscle
ENSG00000095596,Liver
ENSG00000095627,Testis
ENSG00000095777,Testis
ENSG00000096088,Stomach
ENSG00000096395,Duodenum
ENSG00000099338,Testis
ENSG00000099365,Cerebral Cortex
ENSG00000099399,Testis
ENSG00000099715,Cerebral Cortex
ENSG00000099721,Prostate gland
ENSG00000099840,Testis
ENSG00000099937,Liver
ENSG00000100121,Testis
ENSG00000100167,Cerebral Cortex
ENSG00000100253,Kidney
ENSG00000100276,Cerebral Cortex
ENSG00000100285,Prostate gland
ENSG00000100312,Testis
ENSG00000100427,Cerebral Cortex
ENSG00000100448,Bone Marrow
ENSG00000100505,Cerebral Cortex
ENSG00000100526,Testis
ENSG00000100565,Testis
ENSG00000100593,Placenta
ENSG00000100652,Liver
ENSG00000100867,Urinary Bladder
ENSG00000100884,Cerebral Cortex
ENSG00000101180,Cerebral Cortex
ENSG00000101189,Testis
ENSG00000101197,Placenta
ENSG00000101251,Testis
ENSG00000101306,Skeletal Muscle
ENSG00000101323,Liver
ENSG00000101327,Cerebral Cortex
ENSG00000101331,Spleen
ENSG00000101425,Bone Marrow
ENSG00000101435,Testis
ENSG00000101438,Cerebral Cortex
ENSG00000101446,Skin
ENSG00000101448,Testis
ENSG00000101470,Skeletal Muscle
ENSG00000101489,Cerebral Cortex
ENSG00000101542,Cerebral Cortex
ENSG00000101883,Testis
ENSG00000101892,Skeletal Muscle
ENSG00000101951,Placenta
