Gene ID,Tissue
ENSG00000011600,Spleen
ENSG00000011677,Cerebral Cortex
ENSG00000012124,Lymph Node
ENSG00000012124,Tonsil
ENSG00000012223,Bone Marrow
ENSG00000012504,Liver
ENSG00000012779,Bone Marrow
ENSG00000013016,Cerebral Cortex
ENSG00000013293,Cerebral Cortex
ENSG00000013297,Cerebral Cortex
ENSG00000013297,Ovary
ENSG00000013297,Testis
ENSG00000013588,Lung
ENSG00000013619,Testis
ENSG00000013725,Lymph Node
ENSG00000013810,Bone Marrow
ENSG00000013810,Lymph Node
ENSG00000014257,Prostate gland
ENSG00000015285,Spleen
ENSG00000015285,Appendix
ENSG00000015413,Kidney
ENSG00000015413,Small Intestine
ENSG00000015520,Duodenum
ENSG00000015520,Small Intestine
ENSG00000015592,Cerebral Cortex
ENSG00000016082,Placenta
ENSG00000016082,Prostate gland
ENSG00000016082,Stomach
ENSG00000016391,Kidney
ENSG00000016402,Fallopian Tube
ENSG00000016402,Skin
ENSG00000016490,Duodenum
ENSG00000016490,Rectum
ENSG00000016490,Small Intestine
ENSG00000016602,Colon
ENSG00000016602,Esophagus
ENSG00000016602,Rectum
ENSG00000018189,Cerebral Cortex
ENSG00000018236,Cerebral Cortex
ENSG00000018236,Ovary
ENSG00000018280,Lung
ENSG00000018280,Appendix
ENSG00000018625,Cerebral Cortex
ENSG00000018625,Skeletal Muscle
ENSG00000019102,Stomach
ENSG00000019169,Lung
ENSG00000019169,Appendix
ENSG00000019186,Urinary Bladder
ENSG00000019505,Cerebral Cortex
ENSG00000019505,Gall Bladder
ENSG00000019991,Placenta
ENSG00000020129,Cerebral Cortex
ENSG00000020577,Testis
ENSG00000020633,Lymph Node
ENSG00000020633,Spleen
ENSG00000021300,Cerebral Cortex
ENSG00000021355,Esophagus
ENSG00000021461,Liver
ENSG00000021488,Duodenum
ENSG00000021488,Kidney
ENSG00000021488,Small Intestine
ENSG00000021645,Cerebral Cortex
ENSG00000021645,Smooth Muscle
ENSG00000021826,Duodenum
ENSG00000021826,Liver
ENSG00000021852,Liver
ENSG00000022267,Skeletal Muscle
ENSG00000022355,Cerebral Cortex
ENSG00000023171,Adrenal Gland
ENSG00000023330,Adrenal Gland
ENSG00000023445,Lymph Node
ENSG00000023572,Testis
ENSG00000023839,Duodenum
ENSG00000023839,Gall Bladder
ENSG00000023839,Liver
ENSG00000023839,Small Intestine
ENSG00000024422,Adipose
ENSG00000024526,Testis
ENSG00000025423,Liver
ENSG00000025708,Appendix
ENSG00000025772,Testis
ENSG00000026025,Ovary
ENSG00000026297,Spleen
ENSG00000026559,Endometrium
ENSG00000026559,Placenta
ENSG00000026652,Cerebral Cortex
ENSG00000027644,Adrenal Gland
