Gene ID,Tissue
ENSG00000006007,Rectum
ENSG00000006015,Spleen
ENSG00000006016,Placenta
ENSG00000006025,Stomach
ENSG00000006042,Ovary
ENSG00000006047,Testis
ENSG00000006059,Esophagus
ENSG00000006059,Testis
ENSG00000006062,Lymph Node
ENSG00000006071,Cerebral Cortex
ENSG00000006116,Cerebral Cortex
ENSG00000006118,Cerebral Cortex
ENSG00000006125,Cerebral Cortex
ENSG00000006128,Cerebral Cortex
ENSG00000006194,Ovary
ENSG00000006210,Lung
ENSG00000006282,Testis
ENSG00000006283,Cerebral Cortex
ENSG00000006327,Gall Bladder
ENSG00000006377,Placenta
ENSG00000006432,Cerebral Cortex
ENSG00000006451,Lung
ENSG00000006453,Stomach
ENSG00000006459,Bone Marrow
ENSG00000006468,Salivary Gland
ENSG00000006530,Lymph Node
ENSG00000006534,Lung
ENSG00000006555,Esophagus
ENSG00000006576,Skeletal Muscle
ENSG00000006606,Ovary
ENSG00000006607,Testis
ENSG00000006611,Small Intestine
ENSG00000006625,Skin
ENSG00000006634,Testis
ENSG00000006638,Placenta
ENSG00000006638,Spleen
ENSG00000006652,Bone Marrow
ENSG00000006659,Placenta
ENSG00000006695,Testis
ENSG00000006704,Thyroid Gland
ENSG00000006712,Testis
ENSG00000006715,Cerebral Cortex
ENSG00000006740,Cerebral Cortex
ENSG00000006744,Spleen
ENSG00000006744,Testis
ENSG00000006747,Small Intestine
ENSG00000006756,Fallopian Tube
ENSG00000006757,Thyroid Gland
ENSG00000006788,Placenta
ENSG00000006788,Skeletal Muscle
ENSG00000006831,Adipose
ENSG00000006837,Testis
ENSG00000007001,Kidney
ENSG00000007038,Testis
ENSG00000007047,Testis
ENSG00000007062,Gall Bladder
ENSG00000007080,Adipose
ENSG00000007129,Lymph Node
ENSG00000007168,Cerebral Cortex
ENSG00000007171,Appendix
ENSG00000007174,Fallopian Tube
ENSG00000007202,Thyroid Gland
ENSG00000007216,Duodenum
ENSG00000007237,Cerebral Cortex
ENSG00000007255,Spleen
ENSG00000007264,Spleen
ENSG00000007306,Rectum
ENSG00000007312,Lymph Node
ENSG00000007314,Skeletal Muscle
ENSG00000007341,Testis
ENSG00000007350,Testis
ENSG00000007372,Cerebral Cortex
ENSG00000007376,Spleen
ENSG00000007384,Placenta
ENSG00000007392,Endometrium
ENSG00000007402,Lung
ENSG00000007516,Fallopian Tube
ENSG00000007520,Spleen
ENSG00000007541,Bone Marrow
ENSG00000007545,Testis
ENSG00000007866,Smooth Muscle
ENSG00000007908,Urinary Bladder
ENSG00000007923,Rectum
ENSG00000007933,Liver
ENSG00000007944,Placenta
ENSG00000007952,Rectum
ENSG00000007968,Bone Marrow
ENSG00000008018,Placenta
ENSG00000008056,Cerebral Cortex
ENSG00000008083,Bone Marrow
ENSG00000008086,Cerebral Cortex
ENSG00000008118,Cerebral Cortex
ENSG00000008128,Bone Marrow
ENSG00000008130,Spleen
ENSG00000008196,Skin
ENSG00000008197,Testis
ENSG00000008226,Testis
ENSG00000008256,Placenta
ENSG00000008277,Cerebral Cortex
ENSG00000008282,Thyroid Gland
ENSG00000008283,Adrenal Gland
ENSG00000008294,Testis
ENSG00000008300,Cerebral Cortex
ENSG00000008300,Testis
ENSG00000008311,Ovary
ENSG00000008323,Small Intestine
ENSG00000008324,Lymph Node
ENSG00000008382,Duodenum
ENSG00000008394,Liver
ENSG00000008405,Testis
ENSG00000008438,Bone Marrow
ENSG00000008441,Prostate gland
ENSG00000008513,Thyroid Gland
ENSG00000008516,Appendix
ENSG00000008517,Spleen
ENSG00000008710,Ovary
ENSG00000008735,Cerebral Cortex
ENSG00000008838,Testis
ENSG00000008853,Lung
ENSG00000008869,Lymph Node
ENSG00000008952,Thyroid Gland
ENSG00000008988,Ovary
ENSG00000009307,Thyroid Gland
ENSG00000009335,Smooth Muscle
ENSG00000009413,Endometrium
ENSG00000009694,Prostate gland
ENSG00000009709,Cerebral Cortex
ENSG00000009709,Skeletal Muscle
ENSG00000009724,Liver
ENSG00000009765,Thyroid Gland
ENSG00000009780,Thyroid Gland
ENSG00000009790,Lymph Node
ENSG00000009830,Testis
ENSG00000009844,Cerebral Cortex
ENSG00000009950,Adipose
ENSG00000009954,Endometrium
ENSG00000010017,Testis
ENSG00000010030,Skin
ENSG00000010072,Testis
ENSG00000010165,Testis
ENSG00000010219,Testis
ENSG00000010244,Bone Marrow
ENSG00000010256,Heart
ENSG00000010270,Prostate gland
ENSG00000010278,Esophagus
ENSG00000010282,Heart
ENSG00000010292,Tonsil
ENSG00000010295,Spleen
ENSG00000010310,Stomach
ENSG00000010318,Testis
ENSG00000010319,Adipose
ENSG00000010322,Testis
ENSG00000010327,Spleen
ENSG00000010361,Testis
ENSG00000010379,Kidney
ENSG00000010404,Cerebral Cortex
ENSG00000010438,Pancreas
ENSG00000010539,Testis
ENSG00000010610,Spleen
ENSG00000010626,Fallopian Tube
ENSG00000010671,Tonsil
ENSG00000010704,Thyroid Gland
ENSG00000010803,Ovary
ENSG00000010810,Lymph Node
ENSG00000010818,Cerebral Cortex
ENSG00000010932,Kidney
ENSG00000011007,Lung
ENSG00000011009,Fallopian Tube
ENSG00000011021,Cerebral Cortex
ENSG00000011028,Gall Bladder
ENSG00000011083,Cerebral Cortex
ENSG00000011105,Placenta
ENSG00000011114,Thyroid Gland
ENSG00000011132,Spleen
ENSG00000011143,Fallopian Tube
ENSG00000011198,Bone Marrow
ENSG00000011201,Lung
ENSG00000011243,Bone Marrow
ENSG00000011258,Testis
ENSG00000011260,Testis
ENSG00000011275,Testis
ENSG00000011295,Thyroid Gland
ENSG00000011304,Placenta
ENSG00000011332,Cerebral Cortex
ENSG00000011347,Prostate gland
ENSG00000011376,Cerebral Cortex
ENSG00000011376,Rectum
ENSG00000011376,Thyroid Gland
ENSG00000011405,Thyroid Gland
ENSG00000011422,Bone Marrow
ENSG00000011426,Cerebral Cortex
ENSG00000011451,Testis
ENSG00000011454,Thyroid Gland
ENSG00000011465,Ovary
ENSG00000011478,Thyroid Gland
ENSG00000011485,Fallopian Tube
ENSG00000011523,Ovary
ENSG00000011566,Thyroid Gland
ENSG00000011590,Testis
ENSG00000011600,Spleen
ENSG00000011638,Skin
ENSG00000011677,Cerebral Cortex
ENSG00000012048,Testis
ENSG00000012061,Fallopian Tube
ENSG00000012061,Ovary
ENSG00000012124,Lymph Node
ENSG00000012171,Adrenal Gland
ENSG00000012174,Ovary
ENSG00000012211,Skin
ENSG00000012223,Bone Marrow
ENSG00000012232,Cerebral Cortex
ENSG00000012232,Smooth Muscle
ENSG00000012504,Liver
ENSG00000012660,Prostate gland
ENSG00000012779,Bone Marrow
ENSG00000012817,Small Intestine
ENSG00000012822,Skin
ENSG00000012963,Cerebral Cortex
ENSG00000012983,Endometrium
ENSG00000013016,Cerebral Cortex
ENSG00000013275,Thyroid Gland
ENSG00000013288,Thyroid Gland
ENSG00000013293,Cerebral Cortex
ENSG00000013297,Testis
ENSG00000013306,Bone Marrow
ENSG00000013364,Small Intestine
ENSG00000013374,Thyroid Gland
ENSG00000013375,Prostate gland
ENSG00000013392,Prostate gland
ENSG00000013441,Bone Marrow
ENSG00000013503,Thyroid Gland
ENSG00000013523,Testis
ENSG00000013561,Testis
ENSG00000013563,Thyroid Gland
ENSG00000013573,Bone Marrow
ENSG00000013583,Duodenum
ENSG00000013588,Lung
ENSG00000013619,Testis
ENSG00000013725,Lymph Node
ENSG00000013810,Lymph Node
ENSG00000014123,Thyroid Gland
ENSG00000014138,Tonsil
ENSG00000014164,Testis
ENSG00000014216,Esophagus
ENSG00000014257,Prostate gland
ENSG00000014641,Heart
ENSG00000014824,Thyroid Gland
ENSG00000014914,Small Intestine
ENSG00000014919,Thyroid Gland
ENSG00000015133,Lymph Node
ENSG00000015153,Cerebral Cortex
ENSG00000015171,Thyroid Gland
ENSG00000015285,Spleen
ENSG00000015413,Small Intestine
ENSG00000015475,Bone Marrow
ENSG00000015479,Endometrium
ENSG00000015520,Small Intestine
ENSG00000015532,Stomach
ENSG00000015568,Bone Marrow
